# run_name: boltzmann_run1_400
# timestamp: 20260809_235745
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
144,-8.2864,-4.6825,10.0,150,0.3727,216.34,False,False,False,True
145,-1.4566,-4.2405,10.0,150,0.3677,218.05,False,False,False,True
146,2.668,-3.5693,10.0,150,0.3627,219.77,False,False,False,True
147,5.1175,-2.5877,10.0,75,0.3602,220.65,False,False,True,False
148,10.274,-0.9838,20.0,97,0.357,221.77,True,False,False,False
149,1.0999,-1.0641,20.0,150,0.352,223.49,False,False,False,True
150,-4.5643,-0.2885,20.0,150,0.347,225.2,False,False,False,True
151,3.929,0.9415,20.0,62,0.3449,225.93,False,False,True,False
152,4.0751,0.4801,10.0,49,0.3433,226.53,False,False,True,False
153,-7.8204,0.5036,10.0,150,0.3383,228.24,False,False,False,True
154,-2.5338,1.0788,10.0,150,0.3333,229.95,False,False,False,True
155,-7.3918,0.4853,10.0,150,0.3283,231.67,False,False,False,True
156,1.6494,0.3835,10.0,150,0.3233,233.39,False,False,False,True
157,-12.8271,-1.411,10.0,150,0.3183,235.1,False,False,False,True
158,-9.136,-3.352,0.0,150,0.3133,236.81,False,False,False,True
159,-8.6413,-4.3261,0.0,150,0.3083,238.53,False,False,False,True
160,-1.218,-3.9915,0.0,150,0.3033,240.24,False,False,False,True
161,-6.2827,-5.0127,0.0,150,0.2983,241.96,False,False,False,True
162,-3.0412,-5.7243,0.0,150,0.2933,243.67,False,False,False,True
163,-6.197,-5.562,0.0,150,0.2883,245.39,False,False,False,True
164,-2.7792,-5.5865,0.0,150,0.2833,247.1,False,False,False,True
165,-0.1896,-4.8663,0.0,28,0.2823,247.46,False,False,True,False
166,-1.1062,-5.1418,0.0,150,0.2773,249.17,False,False,False,True
167,-5.3411,-4.3932,0.0,150,0.2723,250.89,False,False,False,True
168,-6.5073,-4.1304,0.0,150,0.2673,252.6,False,False,False,True
169,0.8369,-3.1826,0.0,150,0.2623,254.32,False,False,False,True
170,-2.8283,-3.3436,0.0,150,0.2573,256.03,False,False,False,True
171,-6.1095,-3.3263,0.0,150,0.2523,257.75,False,False,False,True
172,-0.5924,-3.0814,0.0,150,0.2473,259.46,False,False,False,True
173,-1.3743,-2.5991,0.0,150,0.2423,261.17,False,False,False,True
174,-1.9547,-2.5166,0.0,150,0.2373,262.89,False,False,False,True
175,-2.6143,-2.7591,0.0,11,0.237,263.06,False,False,True,False
176,-16.8822,-4.3367,0.0,150,0.232,264.77,False,False,False,True
177,-5.2342,-4.326,0.0,150,0.227,266.49,False,False,False,True
178,-3.7455,-4.0499,0.0,150,0.222,268.2,False,False,False,True
179,-15.769,-5.7105,0.0,150,0.217,269.92,False,False,False,True
180,-7.3864,-6.1663,0.0,150,0.212,271.63,False,False,False,True
181,-9.1232,-6.4676,0.0,150,0.207,273.35,False,False,False,True
